 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
171.252.249.59 - - [16/Jul/2018 18:53:53] "OPTIONS /api/question HTTP/1.1" 200 -
171.252.249.59 - - [16/Jul/2018 18:53:53] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:58:48] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:58:48] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:02:36] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:02:36] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:03:43] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:03:44] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:03:50] "POST /api/upload HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:52] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:52] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:55] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:55] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:56] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:56] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:57] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:57] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:58] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:59] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:04:59] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:05:00] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:05:00] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:05:01] "POST /api/question HTTP/1.1" 200 -
35.166.31.33 - - [16/Jul/2018 19:06:06] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:30] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:30] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:32] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:32] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:33] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:44] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:44] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:45] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:45] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:06:46] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:07:05] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:07:06] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:07:07] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:07:07] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:07:08] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:00] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:00] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:08] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:08] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:09] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:09] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:10] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:12] "POST /api/upload HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:46] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:46] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:52] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:17:52] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:05] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:05] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:12] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:12] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:13] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:14] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:15] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:17] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:30] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:30] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:33] "OPTIONS /api/question HTTP/1.1" 200 -
